start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
Random,Transpose,First-improvement,6291686,0.000000,+32.7214
Random,Transpose,Best-improvement,6318920,0.000000,+32.4302
Random,Exchange,First-improvement,9075505,26.500000,+2.9534
Random,Exchange,Best-improvement,8968092,4.156000,+4.1020
Random,Insert,First-improvement,9087435,22.390000,+2.8258
Random,Insert,Best-improvement,9105394,4.875000,+2.6338
CW,Transpose,First-improvement,7889100,0.000000,+15.6399
CW,Transpose,Best-improvement,7881453,0.000000,+15.7217
CW,Exchange,First-improvement,9148690,23.531000,+2.1708
CW,Exchange,Best-improvement,9091834,4.219000,+2.7788
CW,Insert,First-improvement,9179106,16.969000,+1.8455
CW,Insert,Best-improvement,9173885,4.094000,+1.9014
