instance,start,neighbourhood,pivot,cost,time_in_seconds,deviation_percentage
N-be75eec_150,Random,Transpose,First-improvement,2110005,0.000000,+39.4169
N-be75eec_150,Random,Transpose,Best-improvement,2116936,0.000000,+39.2179
N-be75eec_150,Random,Exchange,First-improvement,3397099,2.328000,+2.4615
N-be75eec_150,Random,Exchange,Best-improvement,3370646,0.421000,+3.2210
N-be75eec_150,Random,Insert,First-improvement,3419060,1.828000,+1.8309
N-be75eec_150,Random,Insert,Best-improvement,3422308,0.500000,+1.7377
N-be75eec_150,CW,Transpose,First-improvement,2862125,0.000000,+17.8218
N-be75eec_150,CW,Transpose,Best-improvement,2861204,0.000000,+17.8483
N-be75eec_150,CW,Exchange,First-improvement,3399566,2.172000,+2.3906
N-be75eec_150,CW,Exchange,Best-improvement,3408882,0.547000,+2.1232
N-be75eec_150,CW,Insert,First-improvement,3420800,1.531000,+1.7810
N-be75eec_150,CW,Insert,Best-improvement,3428002,0.469000,+1.5742
N-be75eec_250,Random,Transpose,First-improvement,5668583,0.000000,NA
N-be75eec_250,Random,Transpose,Best-improvement,5665677,0.000000,NA
N-be75eec_250,Random,Exchange,First-improvement,8707547,31.781000,NA
N-be75eec_250,Random,Exchange,Best-improvement,8589659,4.625000,NA
N-be75eec_250,Random,Insert,First-improvement,8695911,20.906000,NA
N-be75eec_250,Random,Insert,Best-improvement,8661395,3.907000,NA
N-be75eec_250,CW,Transpose,First-improvement,7323577,0.000000,NA
N-be75eec_250,CW,Transpose,Best-improvement,7336238,0.000000,NA
N-be75eec_250,CW,Exchange,First-improvement,8671167,26.343000,NA
N-be75eec_250,CW,Exchange,Best-improvement,8653669,3.907000,NA
N-be75eec_250,CW,Insert,First-improvement,8673586,15.781000,NA
N-be75eec_250,CW,Insert,Best-improvement,8723613,3.609000,NA
N-be75np_150,Random,Transpose,First-improvement,4809500,0.000000,+32.9623
N-be75np_150,Random,Transpose,Best-improvement,4807943,0.000000,+32.9840
N-be75np_150,Random,Exchange,First-improvement,7002130,2.953000,+2.4002
N-be75np_150,Random,Exchange,Best-improvement,6937823,0.563000,+3.2965
N-be75np_150,Random,Insert,First-improvement,7116303,2.062000,+0.8087
N-be75np_150,Random,Insert,Best-improvement,7044246,0.531000,+1.8131
N-be75np_150,CW,Transpose,First-improvement,5937675,0.000000,+17.2372
N-be75np_150,CW,Transpose,Best-improvement,5978048,0.000000,+16.6744
N-be75np_150,CW,Exchange,First-improvement,6963430,2.547000,+2.9396
N-be75np_150,CW,Exchange,Best-improvement,6880714,0.484000,+4.0925
N-be75np_150,CW,Insert,First-improvement,7063816,1.844000,+1.5403
N-be75np_150,CW,Insert,Best-improvement,7036796,0.453000,+1.9170
N-be75np_250,Random,Transpose,First-improvement,11908894,0.000000,+33.1490
N-be75np_250,Random,Transpose,Best-improvement,11849453,0.000000,+33.4826
N-be75np_250,Random,Exchange,First-improvement,17401607,30.672000,+2.3154
N-be75np_250,Random,Exchange,Best-improvement,17120472,4.328000,+3.8936
N-be75np_250,Random,Insert,First-improvement,17437911,23.218000,+2.1116
N-be75np_250,Random,Insert,Best-improvement,17438981,3.985000,+2.1056
N-be75np_250,CW,Transpose,First-improvement,15139849,0.000000,+15.0119
N-be75np_250,CW,Transpose,Best-improvement,15153401,0.000000,+14.9358
N-be75np_250,CW,Exchange,First-improvement,17492833,28.141000,+1.8033
N-be75np_250,CW,Exchange,Best-improvement,17290954,3.953000,+2.9365
N-be75np_250,CW,Insert,First-improvement,17547014,18.453000,+1.4991
N-be75np_250,CW,Insert,Best-improvement,17515396,5.656000,+1.6766
N-be75oi_150,Random,Transpose,First-improvement,1494458,0.000000,+33.4772
N-be75oi_150,Random,Transpose,Best-improvement,1494457,0.000000,+33.4772
N-be75oi_150,Random,Exchange,First-improvement,2200985,5.500000,+2.0275
N-be75oi_150,Random,Exchange,Best-improvement,2206582,1.515000,+1.7784
N-be75oi_150,Random,Insert,First-improvement,2212119,4.609000,+1.5319
N-be75oi_150,Random,Insert,Best-improvement,2212618,1.156000,+1.5097
N-be75oi_150,CW,Transpose,First-improvement,1912834,0.000000,+14.8540
N-be75oi_150,CW,Transpose,Best-improvement,1915033,0.000000,+14.7561
N-be75oi_150,CW,Exchange,First-improvement,2209948,4.016000,+1.6286
N-be75oi_150,CW,Exchange,Best-improvement,2199939,0.485000,+2.0741
N-be75oi_150,CW,Insert,First-improvement,2215509,1.984000,+1.3810
N-be75oi_150,CW,Insert,Best-improvement,2222080,0.813000,+1.0885
N-be75oi_250,Random,Transpose,First-improvement,2961478,0.000000,+49.8912
N-be75oi_250,Random,Transpose,Best-improvement,2974767,0.000000,+49.6664
N-be75oi_250,Random,Exchange,First-improvement,5761454,54.157000,+2.5151
