instance,algorithm,cost,time_in_seconds,deviation_percentage
N-be75eec_150,VND_TEI (T->E->I),3429545,1.171000,+1.5299
N-be75eec_150,VND_TIE (T->I->E),3405080,0.938000,+2.2323
N-be75eec_250,VND_TEI (T->E->I),8677168,15.547000,NA
N-be75eec_250,VND_TIE (T->I->E),8647844,9.532000,NA
N-be75np_150,VND_TEI (T->E->I),7051169,1.219000,+1.7166
N-be75np_150,VND_TIE (T->I->E),7018022,0.906000,+2.1786
N-be75np_250,VND_TEI (T->E->I),17535768,11.203000,+1.5623
N-be75np_250,VND_TIE (T->I->E),17607675,10.188000,+1.1586
N-be75oi_150,VND_TEI (T->E->I),2221894,1.516000,+1.0968
N-be75oi_150,VND_TIE (T->I->E),2225306,0.985000,+0.9449
N-be75oi_250,VND_TEI (T->E->I),5820804,16.532000,+1.5108
N-be75oi_250,VND_TIE (T->I->E),5794512,10.953000,+1.9557
N-be75tot_150,VND_TEI (T->E->I),11998582,1.187000,+2.3530
N-be75tot_150,VND_TIE (T->I->E),12022181,0.875000,+2.1609
N-be75tot_250,VND_TEI (T->E->I),30507873,12.047000,+1.4559
N-be75tot_250,VND_TIE (T->I->E),30485946,8.516000,+1.5268
N-stabu1_150,VND_TEI (T->E->I),2828399,1.157000,+1.6459
N-stabu1_150,VND_TIE (T->I->E),2808611,1.078000,+2.3340
N-stabu1_250,VND_TEI (T->E->I),7636449,11.047000,+1.3690
N-stabu1_250,VND_TIE (T->I->E),7625196,9.516000,+1.5144
N-stabu2_150,VND_TEI (T->E->I),4277069,1.610000,+1.1662
N-stabu2_150,VND_TIE (T->I->E),4252153,1.110000,+1.7420
N-stabu2_250,VND_TEI (T->E->I),11272213,12.719000,+1.9846
N-stabu2_250,VND_TIE (T->I->E),11355278,9.265000,+1.2623
N-stabu3_150,VND_TEI (T->E->I),4427689,1.187000,+1.8348
N-stabu3_150,VND_TIE (T->I->E),4425587,1.000000,+1.8814
N-stabu3_250,VND_TEI (T->E->I),11707106,10.765000,+1.6236
N-stabu3_250,VND_TIE (T->I->E),11725429,9.781000,+1.4696
N-t59b11xx_150,VND_TEI (T->E->I),3134215,1.000000,+3.2515
N-t59b11xx_150,VND_TIE (T->I->E),3165230,0.734000,+2.2941
N-t59b11xx_250,VND_TEI (T->E->I),8235775,12.547000,+2.0939
N-t59b11xx_250,VND_TIE (T->I->E),8258225,9.406000,+1.8270
N-t59d11xx_150,VND_TEI (T->E->I),1443318,1.109000,+1.3249
N-t59d11xx_150,VND_TIE (T->I->E),1443598,1.141000,+1.3057
N-t59d11xx_250,VND_TEI (T->E->I),3788231,11.844000,+1.3781
N-t59d11xx_250,VND_TIE (T->I->E),3788114,9.906000,+1.3812
N-t59f11xx_150,VND_TEI (T->E->I),1512731,1.156000,+2.0082
N-t59f11xx_150,VND_TIE (T->I->E),1522721,1.094000,+1.3611
N-t59f11xx_250,VND_TEI (T->E->I),3930443,11.532000,+1.5668
N-t59f11xx_250,VND_TIE (T->I->E),3941280,9.343000,+1.2954
N-t59n11xx_150,VND_TEI (T->E->I),312898,1.187000,+1.9006
N-t59n11xx_150,VND_TIE (T->I->E),314690,0.859000,+1.3387
N-t59n11xx_250,VND_TEI (T->E->I),810935,12.094000,+1.7772
N-t59n11xx_250,VND_TIE (T->I->E),802542,8.516000,+2.7938
N-t65b11xx_150,VND_TEI (T->E->I),6317582,1.187000,+2.1112
N-t65b11xx_150,VND_TIE (T->I->E),6297527,1.063000,+2.4220
N-t65b11xx_250,VND_TEI (T->E->I),16881555,12.797000,+2.2719
N-t65b11xx_250,VND_TIE (T->I->E),16974065,11.016000,+1.7363
N-t65d11xx_150,VND_TEI (T->E->I),3509190,1.469000,+1.4092
N-t65d11xx_150,VND_TIE (T->I->E),3494504,0.906000,+1.8218
N-t65d11xx_250,VND_TEI (T->E->I),9168000,11.516000,+1.9643
N-t65d11xx_250,VND_TIE (T->I->E),9172643,8.890000,+1.9147
N-t65f11xx_150,VND_TEI (T->E->I),3114238,1.016000,+1.4271
N-t65f11xx_150,VND_TIE (T->I->E),3097668,1.047000,+1.9516
N-t65f11xx_250,VND_TEI (T->E->I),8269007,11.657000,+1.6714
N-t65f11xx_250,VND_TIE (T->I->E),8231976,10.078000,+2.1118
N-t65l11xx_150,VND_TEI (T->E->I),248287,1.781000,+2.0162
N-t65l11xx_150,VND_TIE (T->I->E),248640,0.812000,+1.8769
N-t65l11xx_250,VND_TEI (T->E->I),656986,15.031000,+1.3911
N-t65l11xx_250,VND_TIE (T->I->E),654880,10.078000,+1.7072
N-t65n11xx_150,VND_TEI (T->E->I),542767,1.453000,+1.4464
N-t65n11xx_150,VND_TIE (T->I->E),543135,1.047000,+1.3796
N-t65n11xx_250,VND_TEI (T->E->I),1408751,13.625000,+1.4420
N-t65n11xx_250,VND_TIE (T->I->E),1408010,9.157000,+1.4938
N-t69r11xx_150,VND_TEI (T->E->I),11550188,1.687000,+2.5790
N-t69r11xx_150,VND_TIE (T->I->E),11572011,0.969000,+2.3950
N-t69r11xx_250,VND_TEI (T->E->I),31205327,14.532000,+1.9192
N-t69r11xx_250,VND_TIE (T->I->E),31048217,9.687000,+2.4130
N-t70b11xx_150,VND_TEI (T->E->I),9441325,1.250000,+2.1343
N-t70b11xx_150,VND_TIE (T->I->E),9470822,1.156000,+1.8286
N-t70b11xx_250,VND_TEI (T->E->I),24924296,14.234000,+1.8846
N-t70b11xx_250,VND_TIE (T->I->E),24881995,9.985000,+2.0511
N-t70d11xn_150,VND_TEI (T->E->I),5746225,1.562000,+1.3548
N-t70d11xn_150,VND_TIE (T->I->E),5726040,1.125000,+1.7014
N-t70d11xn_250,VND_TEI (T->E->I),14963328,12.157000,+1.6028
N-t70d11xn_250,VND_TIE (T->I->E),14938340,9.375000,+1.7671
N-t70d11xx_150,VND_TEI (T->E->I),6045044,1.016000,+2.0915
N-t70d11xx_150,VND_TIE (T->I->E),6033969,0.859000,+2.2709
N-t70d11xx_250,VND_TEI (T->E->I),15740366,11.250000,+1.8716
N-t70d11xx_250,VND_TIE (T->I->E),15705288,10.454000,+2.0902
N-t70f11xx_150,VND_TEI (T->E->I),5034449,1.297000,+2.2455
N-t70f11xx_150,VND_TIE (T->I->E),5074161,1.000000,+1.4745
N-t70f11xx_250,VND_TEI (T->E->I),13353663,13.344000,+1.7111
N-t70f11xx_250,VND_TIE (T->I->E),13345218,8.187000,+1.7733
N-t70l11xx_150,VND_TEI (T->E->I),426493,1.516000,+2.3735
N-t70l11xx_150,VND_TIE (T->I->E),424730,1.281000,+2.7771
N-t70l11xx_250,VND_TEI (T->E->I),1091847,19.031000,+1.9118
N-t70l11xx_250,VND_TIE (T->I->E),1095010,9.469000,+1.6277
N-t70n11xx_150,VND_TEI (T->E->I),927253,1.141000,+2.2826
N-t70n11xx_150,VND_TIE (T->I->E),929299,1.203000,+2.0670
N-t70n11xx_250,VND_TEI (T->E->I),2401281,11.218000,+1.7636
N-t70n11xx_250,VND_TIE (T->I->E),2407163,9.110000,+1.5230
N-t74d11xx_150,VND_TEI (T->E->I),9194673,1.140000,+2.1431
N-t74d11xx_150,VND_TIE (T->I->E),9265115,0.907000,+1.3934
N-t74d11xx_250,VND_TEI (T->E->I),24077322,12.312000,+1.4446
N-t74d11xx_250,VND_TIE (T->I->E),23994974,9.844000,+1.7817
N-t75d11xx_150,VND_TEI (T->E->I),9525829,1.296000,+1.2063
N-t75d11xx_150,VND_TIE (T->I->E),9539548,0.906000,+1.0640
N-t75d11xx_250,VND_TEI (T->E->I),24646486,13.563000,+1.4813
N-t75d11xx_250,VND_TIE (T->I->E),24661091,9.796000,+1.4229
N-t75e11xx_150,VND_TEI (T->E->I),40793102,0.953000,+1.8693
N-t75e11xx_150,VND_TIE (T->I->E),40953491,1.094000,+1.4835
